Symbol,Name,Exchange,add_to_asset
VES.VN,Công ty Cổ phần Đầu tư và Xây dựng Điện MÊ CA VNECO,VnStock,0
VEF.VN,Công ty Cổ phần Trung tâm Hội chợ Triển lãm Việt Nam,VnStock,0
VEC.VN,Tổng Công ty Cổ phần Điện tử và Tin học Việt Nam,VnStock,0
VEA.VN,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP,VnStock,0
VE9.VN,Công ty Cổ phần Đầu tư và Xây dựng VNECO 9,VnStock,0
VE8.VN,Công ty Cổ phần Xây dựng Điện Vneco 8,VnStock,0
VE4.VN,Công ty Cổ phần Xây dựng điện VNECO4,VnStock,0
VE3.VN,Công ty Cổ phần Xây dựng điện VNECO 3,VnStock,0
VE2.VN,Công ty Cổ phần Xây dựng Điện VNECO 2,VnStock,0
VE1.VN,Công ty Cổ phần Xây dựng điện VNECO 1,VnStock,0
VDT.VN,Công ty Cổ phần Lưới thép Bình Tây,VnStock,0
VDS.VN,Công ty Cổ phần Chứng khoán Rồng Việt,VnStock,1
VDP.VN,Công ty Cổ phần Dược phẩm Trung ương VIDIPHA,VnStock,1
VDN.VN,Công ty Cổ phần Vinatex Đà Nẵng,VnStock,0
VDM.VN,Công ty Cổ phần - Viện Nghiên cứu Dệt may,VnStock,0
VDL.VN,Công ty Cổ phần Thực phẩm Lâm Đồng,VnStock,0
VDG.VN,Công ty Cổ phần Vạn Đạt Group,VnStock,0
VDB.VN,Công ty Cổ phần Vận tải và Chế biến Than Đông Bắc,VnStock,0
VCX.VN,Công ty Cổ phần Xi măng Yên Bình,VnStock,0
VCW.VN,Công ty Cổ phần Đầu tư Nước sạch Sông Đà,VnStock,0
VCT.VN,Công ty Cổ phần Tư vấn Xây dựng Vinaconex,VnStock,0
VCS.VN,Công ty Cổ phần VICOSTONE,VnStock,0
VCR.VN,Công ty Cổ phần Đầu tư và Phát triển Du lịch Vinaconex,VnStock,0
VCP.VN,Công ty Cổ phần Xây dựng và Năng lượng VCP,VnStock,0
VCM.VN,Công ty Cổ phần BV Life,VnStock,0
VCI.VN,Công ty Cổ phần Chứng khoán Vietcap,VnStock,1
VCG.VN,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,VnStock,1
VCF.VN,Công ty Cổ phần VinaCafé Biên Hòa,VnStock,1
